etapa,manzana,lote,area,precio,ubicacion
1,F,1,90.08,39000.0,ESQUINA
1,F,2,91.51,37000.0,MEDIANERO
1,F,3,162.21,55151.4,ESQUINA
1,F,4,90.0,36700.0,MEDIANERO
1,F,5,90.0,36700.0,MEDIANERO
1,F,6,90.0,36700.0,MEDIANERO
1,F,7,90.0,36700.0,MEDIANERO
1,F,8,90.0,36700.0,MEDIANERO
1,F,9,90.0,36700.0,MEDIANERO
1,F,10,90.0,36700.0,MEDIANERO
1,F,11,90.0,36700.0,MEDIANERO
1,F,12,90.0,36700.0,MEDIANERO
1,F,13,90.0,36700.0,MEDIANERO
1,F,14,98.97,42000.0,F/CENTRO/C
1,F,15,103.39,45000.0,ESQ/FRE/CC
1,F,16,90.0,36700.0,MEDIANERO
1,F,17,90.0,36700.0,MEDIANERO
1,F,18,90.0,36700.0,MEDIANERO
1,F,19,90.0,36700.0,MEDIANERO
1,F,20,90.0,36700.0,MEDIANERO
1,F,21,90.0,36700.0,MEDIANERO
1,F,22,90.0,36700.0,MEDIANERO
1,F,23,90.0,36700.0,MEDIANERO
1,F,24,90.0,36700.0,MEDIANERO
1,F,25,90.0,36700.0,MEDIANERO
1,F,26,90.0,36700.0,MEDIANERO
1,F,27,90.0,36700.0,MEDIANERO
1,G,1,147.7,62218.0,ESQUINA
1,G,2,92.39,39600.0,MEDIANERO
1,G,3,91.97,39600.0,MEDIANERO
1,G,4,95.9,42800.0,MEDIANERO
1,G,5,99.83,47800.0,ESQUINA
1,G,6,90.0,36700.0,MEDIANERO
1,G,7,90.0,36700.0,MEDIANERO
1,G,8,90.0,36700.0,MEDIANERO
1,G,9,90.0,36700.0,MEDIANERO
1,G,10,90.0,36700.0,MEDIANERO
1,G,11,90.0,36700.0,MEDIANERO
1,G,12,90.0,36700.0,MEDIANERO
1,G,13,90.0,36700.0,MEDIANERO
1,G,14,90.0,36700.0,MEDIANERO
1,G,15,90.0,36700.0,MEDIANERO
1,G,16,90.0,36700.0,MEDIANERO
1,G,17,123.91,51000.0,ESQUINA
1,G,18,117.59,44000.0,MEDIANERO
1,G,19,121.47,51000.0,ESQUINA
1,G,20,90.0,36700.0,MEDIANERO
1,G,21,90.0,36700.0,MEDIANERO
1,G,22,90.0,36700.0,MEDIANERO
1,G,23,90.0,36700.0,MEDIANERO
1,G,24,90.0,36700.0,MEDIANERO
1,G,25,90.0,36700.0,MEDIANERO
1,G,26,90.0,36700.0,MEDIANERO
1,G,27,90.0,36700.0,MEDIANERO
1,G,28,90.0,36700.0,MEDIANERO
1,G,29,90.0,36700.0,MEDIANERO
1,G,30,98.16,39200.0,MEDIANERO
1,H,1,111.31,40610.25,ESQUINA
1,H,2,129.78,46338.4,ESQ/ALAME
1,H,3,178.14,55425.7,MEDIANERO
1,H,4,104.16,36560.8,MEDIANERO
1,H,5,104.16,36560.8,MEDIANERO
1,H,6,104.16,36560.8,MEDIANERO
1,H,7,104.16,36560.8,MEDIANERO
1,H,8,104.16,36560.8,MEDIANERO
